x	y	type	ai	info	cplx	Nxy_ai	log_confidence	infOrt	trueOrt	isOrtOk	sign	partial_correlation
000001000010000000000000000000000	Etv6	Gfi1	N	Erg	0.0324896	5.04211	3934	-5.0096204	0	NA	NA	NA	NA
000010000000001000000000000000000	Etv2	HoxB4	N	Sox7,Tbx20,Fli1,Runx1	21.2854	26.3306	3934	-5.0452	0	NA	NA	NA	NA
000000100000000000000000000000001	Fli1	Tbx3	N	HoxB4	1.1048	6.15616	3934	-5.05136	0	NA	NA	NA	NA
000000000000000000000000000000101	Tal1	Tbx3	N	Gata1	0.987078	6.05987	3934	-5.072792	0	NA	NA	NA	NA
000000000010000000000000000010000	Gfi1	Sox17	N	Ikaros	0.954856	6.05099	3934	-5.096134	0	NA	NA	NA	NA
000000000000000000010000000000010	Lyl1	Tbx20	N	Tbx3	1.37124	6.48254	3934	-5.1113	0	NA	NA	NA	NA
001000000000001000000000000000000	Ets1	HoxB4	N	Sox7,Lyl1,Etv2,Erg	19.6415	24.784	3934	-5.1425	0	NA	NA	NA	NA
000000000000000000100000000000010	Lmo2	Tbx20	N	Etv2	1.26711	6.41495	3934	-5.14784	0	NA	NA	NA	NA
000000000000000000000001001000000	Myb	Runx1	N	Ikaros,Gfi1b,Sfpi1,Etv2	19.5062	24.7333	3934	-5.2271	0	NA	NA	NA	NA
000000000000000000000110000000000	Meis1	Mitf	N	Notch1	1.16885	6.39659	3934	-5.22774	0	NA	NA	NA	NA
000000000010000000100000000000000	Gfi1	Lmo2	N	Erg	0.867288	6.0973	3934	-5.230012	0	NA	NA	NA	NA
000000000000000010000000000000010	Ikaros	Tbx20	N	Gata1,Cbfa2t3h,Meis1	11.8291	17.0604	3934	-5.2313	0	NA	NA	NA	NA
000001000000000000000000000000001	Etv6	Tbx3	N	Tbx20	0.679744	5.92309	3934	-5.243346	0	NA	NA	NA	NA
000000000110000000000000000000000	Gata1	Gfi1	N	Myb	0.68438	5.92925	3934	-5.24487	0	NA	NA	NA	NA
000000000000000000000000000110000	Sfpi1	Sox17	N	Cbfa2t3h	0.974338	6.29223	3934	-5.317892	0	NA	NA	NA	NA
000000000000000000000001000100000	Myb	Sfpi1	N	Cbfa2t3h,Ikaros,Gfi1	10.7397	16.0624	3934	-5.3227	0	NA	NA	NA	NA
000000000000000001000001000000000	Ldb1	Myb	N	Cbfa2t3h	0.0802585	5.40306	3934	-5.3228015	0	NA	NA	NA	NA
000001000100000000000000000000000	Etv6	Gata1	N	Tbx20	0.565747	5.89153	3934	-5.325783	0	NA	NA	NA	NA
000000000000100000000000000000001	Hhex	Tbx3	N	Ets1	1.04711	6.40613	3934	-5.35902	0	NA	NA	NA	NA
010000000100000000000000000000000	Erg	Gata1	N	Notch1	0.707635	6.07088	3934	-5.363245	0	NA	NA	NA	NA
000000100000000000000010000000000	Fli1	Mitf	N	Etv2	0.746261	6.21361	3934	-5.467349	0	NA	NA	NA	NA
000000000000000000010000000001000	Lyl1	Sox7	N	Tal1	0.259919	5.74452	3934	-5.484601	0	NA	NA	NA	NA
000000000000100000000010000000000	Hhex	Mitf	N	Sox7	0.805926	6.29285	3934	-5.486924	0	NA	NA	NA	NA
001000000000000000000000000000100	Ets1	Tal1	N	Fli1,Lmo2	3.83802	9.34313	3934	-5.50511	0	NA	NA	NA	NA
000000001000000000000000000001000	FoxO4	Sox7	N	Gfi1b,Fli1	0.921026	6.42789	3934	-5.506864	0	NA	NA	NA	NA
000000000001000000100000000000000	Gfi1b	Lmo2	N	Sfpi1	0.990934	6.56984	3934	-5.578906	0	NA	NA	NA	NA
000000000000000000100100000000000	Lmo2	Meis1	N	Erg	0.836274	6.43339	3934	-5.597116	0	NA	NA	NA	NA
010000000000000000000010000000000	Erg	Mitf	N	Sox7	0.534496	6.14069	3934	-5.606194	0	NA	NA	NA	NA
000000000000000000000000000000110	Tal1	Tbx20	N	Lmo2	0.236807	5.84375	3934	-5.606943	0	NA	NA	NA	NA
000010000000100000000000000000000	Etv2	Hhex	N	Sox7,Fli1,Erg	9.61193	15.2343	3934	-5.62237	0	NA	NA	NA	NA
000000000000000000000010100000000	Mitf	Nfe2	N	Tbx20,Gata1	5.17931	10.8138	3934	-5.63449	0	NA	NA	NA	NA
000000001000000000000000010000000	FoxO4	Notch1	N	Gfi1b,Fli1	0.88506	6.53116	3934	-5.6461	0	NA	NA	NA	NA
000010000001000000000000000000000	Etv2	Gfi1b	N	Gata1,Notch1	4.56461	10.2214	3934	-5.65679	0	NA	NA	NA	NA
000000000001100000000000000000000	Gfi1b	Hhex	N	Ets1	0.784417	6.45192	3934	-5.667503	0	NA	NA	NA	NA
100000000000100000000000000000000	Cbfa2t3h	Hhex	N	Tal1	0.148724	5.82579	3934	-5.677066	0	NA	NA	NA	NA
000000000000100000000100000000000	Hhex	Meis1	N	Notch1	0.588267	6.34814	3934	-5.759873	0	NA	NA	NA	NA
001000000000000000000000000001000	Ets1	Sox7	N	Notch1,Erg,Etv2,Fli1,Tbx20	27.8593	33.6877	3934	-5.8284	0	NA	NA	NA	NA
000000100000000000000000001000000	Fli1	Runx1	N	Nfe2	0.0856635	5.92404	3934	-5.8383765	0	NA	NA	NA	NA
001000000100000000000000000000000	Ets1	Gata1	N	Notch1	0.353309	6.19524	3934	-5.841931	0	NA	NA	NA	NA
000000000000000000000010010000000	Mitf	Notch1	N	Tbx20,Gata1	5.13179	11.0055	3934	-5.87371	0	NA	NA	NA	NA
000000000000100000000000010000000	Hhex	Notch1	N	Sox7,Fli1,Erg	9.18747	15.0899	3934	-5.90243	0	NA	NA	NA	NA
000000000001000000000010000000000	Gfi1b	Mitf	N	Tbx20,Gata1	4.77623	10.7073	3934	-5.93107	0	NA	NA	NA	NA
000000000000000000000000100000100	Nfe2	Tal1	N	Ikaros,Gata1,Erg,Myb	13.8432	19.7754	3934	-5.9322	0	NA	NA	NA	NA
000010000000000000000000000100000	Etv2	Sfpi1	N	Fli1	0.121906	6.09957	3934	-5.977664	0	NA	NA	NA	NA
000000000001000000001000000000000	Gfi1b	Mecom	N	Sox17,Gata1	4.25923	10.2377	3934	-5.97847	0	NA	NA	NA	NA
000010000000000000100000000000000	Etv2	Lmo2	N	Fli1,Sox7,Tbx20	10.6429	16.6692	3934	-6.0263	0	NA	NA	NA	NA
001000000001000000000000000000000	Ets1	Gfi1b	N	Etv2	0.283134	6.32434	3934	-6.041206	0	NA	NA	NA	NA
000000000000000000010000000000001	Lyl1	Tbx3	N	Gfi1b	0.234152	6.27626	3934	-6.042108	0	NA	NA	NA	NA
001000000000000000000000100000000	Ets1	Nfe2	N	Etv2	0.242171	6.31572	3934	-6.073549	0	NA	NA	NA	NA
100000000100000000000000000000000	Cbfa2t3h	Gata1	N	Ikaros,Tal1	1.65822	7.73723	3934	-6.07901	0	NA	NA	NA	NA
000000000000000000000000001000001	Runx1	Tbx3	N	Etv2	0.166621	6.27106	3934	-6.104439	0	NA	NA	NA	NA
000000000000100000000000000100000	Hhex	Sfpi1	N	Tal1,Erg,Lmo2	7.58859	13.6988	3934	-6.11021	0	NA	NA	NA	NA
000010000000000000000000000010000	Etv2	Sox17	N	Notch1	0.093869	6.2266	3934	-6.132731	0	NA	NA	NA	NA
000000000000000000000000000100001	Sfpi1	Tbx3	N	Lyl1	0.185309	6.34246	3934	-6.157151	0	NA	NA	NA	NA
000000000000000000100000001000000	Lmo2	Runx1	N	Lyl1	0.0804174	6.24707	3934	-6.1666526	0	NA	NA	NA	NA
000000000000000000100000000000001	Lmo2	Tbx3	N	HoxB4	0.405822	6.58223	3934	-6.176408	0	NA	NA	NA	NA
000000000000000000100000000010000	Lmo2	Sox17	N	Erg	0.352059	6.53872	3934	-6.186661	0	NA	NA	NA	NA
000000000000000000001010000000000	Mecom	Mitf	N	Gata1	0.0245002	6.21146	3934	-6.1869598	0	NA	NA	NA	NA
000000000001000000000000010000000	Gfi1b	Notch1	N	Gata1,Nfe2,Sox7	10.0277	16.2454	3934	-6.2177	0	NA	NA	NA	NA
000000000001000000000100000000000	Gfi1b	Meis1	N	Gata1,Nfe2,Sox7	10.7533	16.9819	3934	-6.2286	0	NA	NA	NA	NA
000000000000000010001000000000000	Ikaros	Mecom	N	Gata1,Sox17	4.03499	10.3154	3934	-6.28041	0	NA	NA	NA	NA
100000000000001000000000000000000	Cbfa2t3h	HoxB4	N	Fli1,Lyl1	3.62489	9.91699	3934	-6.2921	0	NA	NA	NA	NA
000000000000000000000000010000010	Notch1	Tbx20	N	Etv2,Sox7,Ikaros	11.4592	17.7671	3934	-6.3079	0	NA	NA	NA	NA
100000000000000000000000000001000	Cbfa2t3h	Sox7	N	Tal1,Mitf	3.62244	9.95265	3934	-6.33021	0	NA	NA	NA	NA
010000000000000000000000000010000	Erg	Sox17	N	Sox7,Mecom,Fli1,Notch1	17.174	23.5905	3934	-6.4165	0	NA	NA	NA	NA
000000000000000010000000010000000	Ikaros	Notch1	N	Gata1,Cbfa2t3h,Nfe2	8.74006	15.319	3934	-6.57894	0	NA	NA	NA	NA
000000000000001000000000100000000	HoxB4	Nfe2	N	Etv2,Meis1,Runx1	10.5416	17.1541	3934	-6.6125	0	NA	NA	NA	NA
001000000000000000000100000000000	Ets1	Meis1	N	Notch1,Erg,Tbx20	9.71503	16.4515	3934	-6.73647	0	NA	NA	NA	NA
001000000000000000100000000000000	Ets1	Lmo2	N	Fli1,Hhex,Lyl1,Sox7	20.1047	26.8748	3934	-6.7701	0	NA	NA	NA	NA
000000000000000010000000000000001	Ikaros	Tbx3	N	Gata1,Tbx20	3.907	10.696	3934	-6.789	0	NA	NA	NA	NA
001000000000000000000000000100000	Ets1	Sfpi1	N	Erg,Fli1	2.4507	9.29859	3934	-6.84789	0	NA	NA	NA	NA
001000000000000000000010000000000	Ets1	Mitf	N	Tbx20,Etv2	3.9688	10.8293	3934	-6.8605	0	NA	NA	NA	NA
000000100000000000010000000000000	Fli1	Lyl1	N	Tal1,Sfpi1,Lmo2	6.6466	13.7482	3934	-7.1016	0	NA	NA	NA	NA
000000100000000000100000000000000	Fli1	Lmo2	N	Tal1,Sox7,Lyl1,Hhex,Erg	21.6485	28.7508	3934	-7.1023	0	NA	NA	NA	NA
100001000000000000000000000000000	Cbfa2t3h	Etv6	N	Fli1,Tal1	2.07341	9.18053	3934	-7.10712	0	NA	NA	NA	NA
000000100000000000000000000100000	Fli1	Sfpi1	N	Cbfa2t3h,Lyl1,Erg,Hhex	16.87	24.238	3934	-7.368	0	NA	NA	NA	NA
000001000000000000000000000001000	Etv6	Sox7	N	Fli1,Notch1,Ets1	8.30502	15.8177	3934	-7.51268	0	NA	NA	NA	NA
000000000000000000001000000000010	Mecom	Tbx20	N	Sox7,Gata1	3.02559	10.5429	3934	-7.51731	0	NA	NA	NA	NA
000000000000001000100000000000000	HoxB4	Lmo2	N	Sox7,Lyl1	3.12128	10.6798	3934	-7.55852	0	NA	NA	NA	NA
001000000000000000001000000000000	Ets1	Mecom	N	Notch1,Erg	2.01474	9.57736	3934	-7.56262	0	NA	NA	NA	NA
000000000000100000001000000000000	Hhex	Mecom	N	Erg,Sox17	2.61118	10.7178	3934	-8.10662	0	NA	NA	NA	NA
000010000000000000000001000000000	Etv2	Myb	N	Mitf,Runx1,Sox7	9.82909	17.9947	3934	-8.16561	0	NA	NA	NA	NA
000000000001000000000000000000001	Gfi1b	Tbx3	N	Tbx20,Gata1,Notch1	9.56661	17.8605	3934	-8.29389	0	NA	NA	NA	NA
001000000000100000000000000000000	Ets1	Hhex	N	Sox7,Fli1,Erg	6.76796	15.1255	3934	-8.35754	0	NA	NA	NA	NA
000000000010100000000000000000000	Gfi1	Hhex	N	Erg,Sox7	1.23205	9.66709	3934	-8.43504	0	NA	NA	NA	NA
000000000000000000100000010000000	Lmo2	Notch1	N	Fli1,Hhex,Ets1	9.09595	17.5565	3934	-8.46055	0	NA	NA	NA	NA
000010000000000000000000100000000	Etv2	Nfe2	N	Gata1,Notch1	1.8067	10.3188	3934	-8.5121	0	NA	NA	NA	NA
000000000000001000000000000010000	HoxB4	Sox17	N	Sox7,Erg	1.92071	10.4337	3934	-8.51299	0	NA	NA	NA	NA
000011000000000000000000000000000	Etv2	Etv6	N	Fli1,Notch1,Ets1	7.4942	16.1507	3934	-8.6565	0	NA	NA	NA	NA
000000000000000000000100100000000	Meis1	Nfe2	N	Gata1,Sox17,Notch1,Tal1	15.9838	24.6501	3934	-8.6663	0	NA	NA	NA	NA
000000000000000000000000000100100	Sfpi1	Tal1	N	Cbfa2t3h,Lyl1,Erg,Sox7	11.955	20.6891	3934	-8.7341	0	NA	NA	NA	NA
000000000000000000000000010010000	Notch1	Sox17	N	Gata1,Sox7,Lyl1,Mecom	16.8583	25.7646	3934	-8.9063	0	NA	NA	NA	NA
000000000000000010000100000000000	Ikaros	Meis1	N	Gata1,Nfe2,Erg	7.93745	16.8695	3934	-8.93205	0	NA	NA	NA	NA
010010000000000000000000000000000	Erg	Etv2	N	Sox7,Notch1,Fli1,Ets1	13.2213	22.2585	3934	-9.0372	0	NA	NA	NA	NA
000000100000000010000000000000000	Fli1	Ikaros	N	Tal1,Hhex	0.312577	9.36545	3934	-9.052873	0	NA	NA	NA	NA
001000000000000000000000000000010	Ets1	Tbx20	N	Etv2,Sox7,Notch1	8.3773	17.5094	3934	-9.1321	0	NA	NA	NA	NA
000000000000000000000100000000001	Meis1	Tbx3	N	Tbx20,Gata1,Erg	9.86128	19.0349	3934	-9.17362	0	NA	NA	NA	NA
000000100000001000000000000000000	Fli1	HoxB4	N	Erg,Etv2,Lyl1,Sox7	13.0141	22.6999	3934	-9.6858	0	NA	NA	NA	NA
000000000000000000001000100000000	Mecom	Nfe2	N	Gata1,Sox17,Meis1	7.46369	17.1581	3934	-9.69441	0	NA	NA	NA	NA
000000000000001000001000000000000	HoxB4	Mecom	N	Erg,Meis1,Sox7	6.92298	16.7091	3934	-9.78612	0	NA	NA	NA	NA
000000000000000000010000001000000	Lyl1	Runx1	N	Ikaros,Gfi1b,Sfpi1	5.14838	15.0006	3934	-9.85222	0	NA	NA	NA	NA
000000000100000000000000000001000	Gata1	Sox7	N	Notch1,Tbx3,Gfi1b,Sox17	16.69	27.085	3934	-10.395	0	NA	NA	NA	NA
000000000000000000001000010000000	Mecom	Notch1	N	Meis1,Sox17,Erg,Gata1	16.8239	27.5521	3934	-10.7282	0	NA	NA	NA	NA
000000000001000000000000000000010	Gfi1b	Tbx20	N	Gata1,Nfe2,Sox7,Ikaros	13.2722	24.0881	3934	-10.8159	0	NA	NA	NA	NA
000000000000000000000001010000000	Myb	Notch1	N	Ikaros,Nfe2,Tal1	3.08827	14.0563	3934	-10.96803	0	NA	NA	NA	NA
000000000001000000000000000000100	Gfi1b	Tal1	N	Ikaros,Myb,Gata1,Lyl1	7.9611	18.987	3934	-11.0259	0	NA	NA	NA	NA
000000000000000010000000000010000	Ikaros	Sox17	N	Gata1,Tal1,Nfe2,Myb	9.10694	21.1452	3934	-12.03826	0	NA	NA	NA	NA
000000000000000000000100000010000	Meis1	Sox17	N	Gata1,Mecom,Erg,Gfi1b	15.3742	27.9161	3934	-12.5419	0	NA	NA	NA	NA
000000000100000000001000000000000	Gata1	Mecom	N	Meis1,Sox17,Cbfa2t3h,Notch1	14.1624	27.2571	3934	-13.0947	0	NA	NA	NA	NA
000000000100000000000000000000010	Gata1	Tbx20	N	Notch1,Tbx3,Nfe2,Sox17	16.0337	29.2678	3934	-13.2341	0	NA	NA	NA	NA
000000000000000010000000000001000	Ikaros	Sox7	N	Etv2,Meis1,Etv6,Runx1,Sox17,Cbfa2t3h	30.5615	44.6958	3934	-14.1343	0	NA	NA	NA	NA
