x	y	type	ai	info	cplx	Nxy_ai	log_confidence	infOrt	trueOrt	isOrtOk	sign	partial_correlation
000010000000010000000000000000000	Etv2	HoxB2	P	NA	5.45971	2.62061	3934	2.8391	2	NA	NA	+	0.0424023674527396
000000000000000000000001000001000	Myb	Sox7	P	Mitf	8.75766	6.54198	3934	2.21568	-2	NA	NA	-	-0.0666733229894472
110000000000000000000000000000000	Cbfa2t3h	Erg	P	Fli1,Lyl1,Sfpi1,Tal1	20.2385	18.8155	3934	1.423	-2	NA	NA	+	0.0671904558462864
000000000100000000000100000000000	Gata1	Meis1	P	Notch1,Ikaros,Sox17,Lyl1	26.6921	25.2968	3934	1.3953	2	NA	NA	-	-0.186203199625413
000000000000001000000000000000001	HoxB4	Tbx3	P	Etv2,Tbx20,Sox7,Lyl1,Erg	42.5422	41.3806	3934	1.1616	-2	NA	NA	+	0.119157691546877
000000000000000000000000000010100	Sox17	Tal1	P	Cbfa2t3h	6.60235	5.95374	3934	0.648610000000001	-2	NA	NA	-	-0.00232628297185535
000000000000000011000000000000000	Ikaros	Ldb1	P	Cbfa2t3h,FoxH1,Mecom	10.305	10.0977	3934	0.2073	2	NA	NA	+	0.0504693594635819
100000100000000000000000000000000	Cbfa2t3h	Fli1	P	Tal1,Sfpi1	8.95036	8.83439	3934	0.115969999999999	2	NA	NA	+	0.0594211712077976
000000000000000000001000000001000	Mecom	Sox7	N	Meis1,Sox17,Erg	16.9151	16.919	3934	-0.00390000000000157	0	NA	NA	NA	NA
000000000100000000000001000000000	Gata1	Myb	N	Ikaros,Gfi1b,Nfe2	16.3999	16.4153	3934	-0.0153999999999996	0	NA	NA	NA	NA
000001000000000000000100000000000	Etv6	Meis1	N	Erg	5.359	5.37821	3934	-0.0192100000000002	0	NA	NA	NA	NA
100000000000000000000000100000000	Cbfa2t3h	Nfe2	N	Ikaros,Tbx20,Tal1	13.3713	13.4829	3934	-0.111600000000001	0	NA	NA	NA	NA
000000000000100000010000000000000	Hhex	Lyl1	N	Tal1	5.65322	5.7803	3934	-0.12708	0	NA	NA	NA	NA
000000001000000000000000001000000	FoxO4	Runx1	N	Gfi1b,Sox17	6.71272	6.8753	3934	-0.16258	0	NA	NA	NA	NA
000000010000000000000000000000010	FoxH1	Tbx20	N	Gfi1	4.49891	4.67049	3934	-0.17158	0	NA	NA	NA	NA
010000000000000000000000100000000	Erg	Nfe2	N	Ets1,Etv6,Sox7	13.5796	13.7574	3934	-0.177800000000001	0	NA	NA	NA	NA
000100000000000000000001000000000	Ets2	Myb	N	NA	2.56807	2.76198	3934	-0.19391	0	NA	NA	NA	NA
000000101000000000000000000000000	Fli1	FoxO4	N	Sox7	4.40107	4.5957	3934	-0.19463	0	NA	NA	NA	NA
010000000001000000000000000000000	Erg	Gfi1b	N	Ets1	5.82335	6.03857	3934	-0.21522	0	NA	NA	NA	NA
000000000000001100000000000000000	HoxB4	HoxD8	N	NA	2.41112	2.62952	3934	-0.2184	0	NA	NA	NA	NA
000000000000000000010100000000000	Lyl1	Meis1	N	Runx1	6.06414	6.31431	3934	-0.25017	0	NA	NA	NA	NA
000000000000000000000000100100000	Nfe2	Sfpi1	N	Ikaros	5.93319	6.23796	3934	-0.30477	0	NA	NA	NA	NA
000000000100000100000000000000000	Gata1	HoxD8	N	NA	2.32032	2.62724	3934	-0.30692	0	NA	NA	NA	NA
000010000000000000000000000000100	Etv2	Tal1	N	Fli1,Lmo2	9.03304	9.37913	3934	-0.34609	0	NA	NA	NA	NA
000000000010000000000000000000001	Gfi1	Tbx3	N	Sox7	5.64149	6.01382	3934	-0.37233	0	NA	NA	NA	NA
000000000000010000000000000000100	HoxB2	Tal1	N	NA	2.11783	2.49803	3934	-0.3802	0	NA	NA	NA	NA
000000010010000000000000000000000	FoxH1	Gfi1	N	Ikaros	4.36101	4.75096	3934	-0.38995	0	NA	NA	NA	NA
001000000000000010000000000000000	Ets1	Ikaros	N	Mitf	6.02881	6.48094	3934	-0.45213	0	NA	NA	NA	NA
000000000000000000000010000100000	Mitf	Sfpi1	N	NA	3.14497	3.61124	3934	-0.46627	0	NA	NA	NA	NA
000000010000000000100000000000000	FoxH1	Lmo2	N	NA	2.60914	3.08645	3934	-0.47731	0	NA	NA	NA	NA
000000000000000000000000101000000	Nfe2	Runx1	N	Ikaros,Gfi1b,Sfpi1	15.0555	15.5418	3934	-0.4863	0	NA	NA	NA	NA
000010000000000000000100000000000	Etv2	Meis1	N	Notch1,Erg,Tbx3	17.386	17.875	3934	-0.489000000000001	0	NA	NA	NA	NA
000000000001001000000000000000000	Gfi1b	HoxB4	N	Gata1,Lyl1	9.59392	10.0898	3934	-0.49588	0	NA	NA	NA	NA
100000000000000100000000000000000	Cbfa2t3h	HoxD8	N	NA	2.10614	2.60725	3934	-0.50111	0	NA	NA	NA	NA
000000000000000000000010000000001	Mitf	Tbx3	N	Gata1	5.91098	6.42907	3934	-0.51809	0	NA	NA	NA	NA
000000000000000000000000100000001	Nfe2	Tbx3	N	Tbx20,Gata1	10.2219	10.755	3934	-0.533100000000001	0	NA	NA	NA	NA
000000000000000100000001000000000	HoxD8	Myb	N	Tbx3	3.57191	4.14073	3934	-0.56882	0	NA	NA	NA	NA
000000000000000100010000000000000	HoxD8	Lyl1	N	NA	2.03992	2.60915	3934	-0.56923	0	NA	NA	NA	NA
000000000000100100000000000000000	Hhex	HoxD8	N	NA	2.03879	2.61989	3934	-0.5811	0	NA	NA	NA	NA
000000000100000001000000000000000	Gata1	Ldb1	N	Cbfa2t3h,FoxH1	5.83132	6.42323	3934	-0.59191	0	NA	NA	NA	NA
100010000000000000000000000000000	Cbfa2t3h	Etv2	N	HoxB4	5.71947	6.31366	3934	-0.594189999999999	0	NA	NA	NA	NA
000100010000000000000000000000000	Ets2	FoxH1	N	NA	1.55701	2.16793	3934	-0.61092	0	NA	NA	NA	NA
000000001000000010000000000000000	FoxO4	Ikaros	N	Gfi1b	3.75844	4.41119	3934	-0.652750000000001	0	NA	NA	NA	NA
100000000000000000000000010000000	Cbfa2t3h	Notch1	N	Sfpi1	5.55849	6.26536	3934	-0.70687	0	NA	NA	NA	NA
000000001000000100000000000000000	FoxO4	HoxD8	N	NA	1.18361	1.90331	3934	-0.7197	0	NA	NA	NA	NA
000000000000000100000100000000000	HoxD8	Meis1	N	NA	1.90374	2.63852	3934	-0.73478	0	NA	NA	NA	NA
000000000000000000000001000000100	Myb	Tal1	N	Ikaros,Sox7,Gfi1b	13.2147	13.9743	3934	-0.759599999999999	0	NA	NA	NA	NA
000000000010000000000100000000000	Gfi1	Meis1	N	Ets1	5.13844	5.90221	3934	-0.76377	0	NA	NA	NA	NA
100000000000010000000000000000000	Cbfa2t3h	HoxB2	N	Etv2	3.2453	4.03796	3934	-0.79266	0	NA	NA	NA	NA
000000000000000001000000010000000	Ldb1	Notch1	N	Fli1,Mecom	7.72992	8.5331	3934	-0.803179999999999	0	NA	NA	NA	NA
000000000000000100000000000001000	HoxD8	Sox7	N	NA	1.82749	2.64535	3934	-0.81786	0	NA	NA	NA	NA
000000010000000000000000000010000	FoxH1	Sox17	N	Ikaros	4.3469	5.18791	3934	-0.84101	0	NA	NA	NA	NA
100000000000000000001000000000000	Cbfa2t3h	Mecom	N	NA	2.69458	3.5746	3934	-0.88002	0	NA	NA	NA	NA
000000000100000000000000000000100	Gata1	Tal1	N	Gfi1b,Myb,Tbx20,Meis1	23.9853	24.8812	3934	-0.895900000000001	0	NA	NA	NA	NA
000000000000000000000000011000000	Notch1	Runx1	N	Gata1	4.98344	5.88263	3934	-0.89919	0	NA	NA	NA	NA
010000100000000000000000000000000	Erg	Fli1	N	Sox7,Cbfa2t3h,Ets1,Hhex	23.5567	24.4621	3934	-0.9054	0	NA	NA	NA	NA
000010001000000000000000000000000	Etv2	FoxO4	N	Gfi1b	3.76445	4.71058	3934	-0.94613	0	NA	NA	NA	NA
000000001000001000000000000000000	FoxO4	HoxB4	N	NA	1.95961	2.91739	3934	-0.95778	0	NA	NA	NA	NA
000000000000000100000000100000000	HoxD8	Nfe2	N	NA	1.68527	2.64345	3934	-0.95818	0	NA	NA	NA	NA
000000000000000100000000001000000	HoxD8	Runx1	N	Etv2	2.87147	3.83439	3934	-0.96292	0	NA	NA	NA	NA
000000000000000000100001000000000	Lmo2	Myb	N	Tal1	4.67376	5.65261	3934	-0.97885	0	NA	NA	NA	NA
